date,symbol,sector,close,ret_fwd_1m,mkt_cap,pe_ttm,pb,roe,turnover,volatility_20,momentum_raw,reverse_raw,market
2015-01-31,AAPL,Communication,69.61897705782548,0.049367906885651264,21242511741.54296,100.0,10.902238591322005,-0.7332666528571103,0.2826130862112835,0.09113764226563147,-0.15961671125557447,-1.0059298508501853,US
2015-01-31,ABBV,Health Care,70.87962966332152,0.06702201271998084,5483379332.049366,11.616205231329278,3.8253733584442418,-1.2387233820483048,0.13246105902256755,0.07956361634544987,0.0032992729866427595,-0.01648657970922772,US
2015-01-31,ACN,Energy,102.57919416182287,-0.03689591247151876,349836980076.6631,20.649710505963906,7.58660274434984,-0.7369616876526328,0.2838867194331626,0.06787377916137768,-0.3267747232309486,-0.33317812741141606,US
2015-01-31,ADBE,Consumer Discretionary,52.71354546588687,-0.057032003207955956,18667646866.411823,12.206850595990165,5.8099614344031885,-0.6865548307074928,0.11401938350521248,0.06581157580574995,-0.539389082778396,-0.5919376022942062,US
2015-01-31,AMAT,Utilities,35.46849783794169,-0.1704369321978535,14221951678.663702,100.0,3.9868365124973724,0.28015474143683927,0.22289394800116835,0.11327460660239912,-1.705275327711208,-1.1080561369258812,US
2015-01-31,AMD,Industrials,195.34554319283362,0.016626048312791755,11428647286.364967,44.026222216144475,4.059863163346402,-0.5432985335387506,0.3810222405230365,0.12750357829101955,0.42525287421581487,-1.0243410390116963,US
2015-01-31,AMGN,Communication,79.5274200920226,0.04299803040545382,41750591719.66024,100.0,15.997323489791551,1.8875380869866167,0.1550856804323266,0.07909291189493532,-1.3048106893411986,0.36035821343469243,US
2015-01-31,AMZN,Communication,185.02508742001598,-0.0017917064955734578,1127621527.609359,100.0,4.747782572696559,-0.49928630719176403,0.29142512310968594,0.0997594115276846,0.4979330555016867,0.09916787522290207,US
2015-01-31,AVGO,Utilities,19.007001062152813,0.016673370829742698,28242112292.751144,8.817460402663796,3.562145273280604,-1.4456309564308603,0.1364666114854239,0.08719332823052428,1.0345055610542384,-0.425296159362088,US
2015-01-31,AXP,Technology,21.947665944277738,0.003775523275648911,107555911456.29999,45.90877340452313,5.078229400144014,0.948692093714644,0.1491343067884129,0.09169651564529684,-0.5575171782356833,0.8185116486186317,US
2015-01-31,BA,Consumer Discretionary,65.53433075910047,0.02981299683443761,230880268.20778504,9.157812952785191,5.985248854480929,-1.485814488958165,0.15960678676316603,0.08939479691549754,-0.608728381084513,0.5152042875995617,US
